stock_id,stock_name,reason,category,start_date,end_date
1325,恆大,除息,股利發放,110.07.09,110.07.14
1410,南染,除息,股利發放,110.07.09,110.07.14
1414,東和,除息,股利發放,110.07.13,110.07.16
1416,廣豐,除息,股利發放,110.07.13,110.07.16
1529,樂事綠能,除息,股利發放,110.07.09,110.07.14
1529,樂事綠能,現金增資,資本活動,110.07.09,110.07.14
1802,台玻,除息,股利發放,110.07.13,110.07.16
2029,盛餘,除息,股利發放,110.07.08,110.07.13
2356,英業達,除息,股利發放,110.07.09,110.07.14
2426,鼎元,除息,股利發放,110.07.09,110.07.14
2496,卓越,除息,股利發放,110.07.12,110.07.15
2637,慧洋-KY,除息,股利發放,110.07.13,110.07.16
3029,零壹,除息,股利發放,110.07.12,110.07.15
3038,全台,除息,股利發放,110.07.08,110.07.13
4927,泰鼎-KY,除息,股利發放,110.07.13,110.07.16
4961,天鈺,現金增資,資本活動,110.07.08,110.07.13
5388,中磊,除息,股利發放,110.07.12,110.07.15
6184,大豐電,除息,股利發放,110.07.13,110.07.16
6213,聯茂,除息,股利發放,110.07.13,110.07.16
6213,聯茂,現金增資,資本活動,110.07.13,110.07.16
6214,精誠,除息,股利發放,110.07.09,110.07.14
6591,動力-KY,除息,股利發放,110.07.13,110.07.16
6655,科定,除息,股利發放,110.07.13,110.07.16
8016,矽創,除息,股利發放,110.07.09,110.07.14
8463,潤泰材,除息,股利發放,110.07.09,110.07.14
8464,億豐,除息,股利發放,110.07.13,110.07.16
8467,波力-KY,除息,股利發放,110.07.09,110.07.14
8482,商億-KY,除息,股利發放,110.07.13,110.07.16
9904,寶成,除息,股利發放,110.07.08,110.07.13
