stock_id,stock_name,reason,start_date,end_date
1303,南亞,股東常會,111.03.31,111.04.07
1419,新紡,股東常會,111.03.31,111.04.07
1582,信錦,股東常會,111.03.31,111.04.07
1609,大亞,股東常會,111.03.31,111.04.07
1626,艾美特-KY,股東常會,111.03.31,111.04.07
1904,正隆,股東常會,111.03.31,111.04.07
2115,六暉-KY,股東常會,111.04.07,111.04.12
2211,長榮鋼,股東常會,111.03.31,111.04.07
2329,華泰,股東常會,111.03.31,111.04.07
2353,宏��,股東常會,111.03.31,111.04.07
2369,菱生,股東常會,111.03.31,111.04.07
2377,微星,股東常會,111.03.31,111.04.07
2385,群光,股東常會,111.03.31,111.04.07
2421,建準,股東常會,111.03.31,111.04.07
2476,鉅祥,股東常會,111.03.31,111.04.07
2535,達欣工,股東常會,111.03.31,111.04.07
2605,新興,股東常會,111.03.31,111.04.07
2614,東森,股東常會,111.04.07,111.04.12
2832,台產,股東常會,111.03.31,111.04.07
2885,元大金,股東常會,111.03.31,111.04.07
3003,健和興,股東常會,111.03.31,111.04.07
3311,閎暉,股東常會,111.03.31,111.04.07
3661,世芯-KY,股東常會,111.03.31,111.04.07
4807,日成-KY,股東常會,111.03.31,111.04.07
5522,遠雄,股東常會,111.03.31,111.04.07
6184,大豐電,股東常會,111.03.31,111.04.07
6285,啟��,股東常會,111.03.31,111.04.07
6598,ABC-KY,股東常會,111.04.07,111.04.12
8249,菱光,股東常會,111.03.31,111.04.07
9931,欣高,股東常會,111.04.07,111.04.12
