stock_id,stock_name,reason
00713,¤¸¤j¥xÆW°ª®§§Cªi,¤À°t¦¬¯q
00896,¤¤«Hºñ¯à¤Î¹q°Ê¨®,¤À°t¦¬¯q
00915,³Í°òÀu¿ï°ªªÑ®§30,¤À°t¦¬¯q
00918,¤jµØÀu§Q°ª¶ñ®§30,¤À°t¦¬¯q
00921,¥üÂ×ÀsÀYµ¥Åv­«,¤À°t¦¬¯q
00936,¥x·s¥ÃÄò°ª®§¤¤¤p,¤À°t¦¬¯q
1416,¼sÂ×,°£®§
1445,¤j¦t,°£®§
1472,¤T¬v¹ê·~,°£®§
1504,ªF¤¸,°£®§
1515,¤O¤s,°£®§
1760,Ä_ÄÖ´IÀA,°£®§
1773,³Ó¤@,°£®§
1776,®i¦t,°£®§
2106,«Ø¤j,°£®§
2231,¬°¤É,°£®§
2308,¥x¹F¹q,°£®§
2330,¥x¿n¹q,°£®§
2362,ÂÅ¤Ñ,°£®§
2385,¸s¥ú,°£®§
2506,¤Ó³],°£®§
2608,¹Å¨½¤jºa,°£®§
2615,¸U®ü,°£®§
2642,¦v°t³q,°£®§
2723,¬ü­¹-KY,°£®§
2832,¥x²£,°£®§
2851,¤¤¦A«O,°£®§
2908,¯S¤O,°£®§
3030,¼w«ß,°£®§
3094,Áp³Ç,°£®§
3164,´º©¨,°£®§
3515,µØÀº,°£®§
3518,¬fÄË,²{ª÷¼W¸ê
3557,¹Å«Â,°£®§
3563,ªª¼w,°£®§
3679,·s¦Ü°¥,°£®§
4571,¶v¿³-KY,°£®§
4994,¶Ç©_,°£®§
5244,¥°³Í,°£®§
5519,¶©¤j,°£®§
5522,»·¶¯,°£®§
6024,¸s¯q´Á,°£®§
6243,¨³ªN,°£®§
6491,´¹ºÓ,°£®§
6719,¤O´¼,Á{®É·|
