stock_id,stock_name,reason
1336,台翰,股東常會
1565,精華,股東常會
1570,力肯,股東常會
1591,駿吉-KY,股東常會
1593,祺驊,股東常會
1595,川寶,股東常會
1742,台蠟,股東常會
1784,訊聯,股東常會
1788,杏昌,股東常會
2035,唐榮,股東常會
2064,晉椿,除息
2064,晉椿,股東常會
2065,世豐,股東常會
2070,精湛,股東常會
2070,精湛,除息
2221,大甲,股東常會
2643,捷迅,股東常會
2726,雅茗-KY,股東常會
2937,集雅社,股東常會
3083,網龍,股東常會
3093,港建*,股東常會
3171,炎洲流通,股東常會
3188,鑫龍騰,股東常會
3213,茂訊,股東常會
3217,優群,股東常會
3226,龍鋒,股東常會
3228,金麗科,股東常會
3230,錦明,股東常會
3284,太普高,股東常會
3285,微端,股東常會
3289,宜特,除息
3289,宜特,股東常會
3306,鼎天,股東常會
3310,佳穎,股東常會
3322,建舜電,股東常會
3323,加百裕,股東常會
3362,先進光,股東常會
3372,典範,股東常會
3434,哲固,股東常會
3444,利機,股東常會
3455,由田,股東常會
3465,進泰電子,股東常會
3466,德晉,股東常會
3499,環天科,股東常會
3512,皇龍,股東常會
3516,亞帝歐,股東常會
3527,聚積,股東常會
3531,先益,股東常會
3540,曜越,股東常會
3548,兆利,股東常會
3567,逸昌,股東常會
3581,博磊,股東常會
3609,三一東林,股東常會
3611,鼎翰,股東常會
3663,鑫科,股東常會
3687,歐買尬,股東常會
3707,漢磊,股東常會
3709,鑫聯大投控,股東常會
4109,加捷生醫,股東常會
4111,濟生,股東常會
4126,太醫,股東常會
4129,聯合,股東常會
4138,曜亞,股東常會
4153,鈺緯,股東常會
4167,松瑞藥,股東常會
4171,瑞基,股東常會
4173,久裕,股東常會
4417,金洲,股東常會
4510,高鋒,股東常會
4527,方土霖,股東常會
4528,江興鍛,股東常會
4528,江興鍛,除息
4534,慶騰,股東常會
4541,晟田,股東常會
4550,長佳,股東常會
4563,百德,股東常會
4706,大恭,股東常會
4741,泓瀚,股東常會
4744,皇將,股東常會
4760,勤凱,股東常會
4768,晶呈科技,股東常會
4905,台聯電,股東常會
4907,富宇,股東常會
4931,新盛力,股東常會
4966,譜瑞-KY,股東常會
4973,廣穎,股東常會
4973,廣穎,除息
5011,久陽,股東常會
5013,強新,股東常會
5015,華祺,股東常會
5201,凱衛,股東常會
5201,凱衛,除息
5220,萬達光電,股東常會
5223,安力-KY,股東常會
5236,凌陽創新,股東常會
5287,數字,除息
5287,數字,股東常會
5321,美而快,股東常會
5340,建榮,股東常會
5347,世界,股東常會
5356,協益,股東常會
5371,中光電,股東常會
5392,能率,股東常會
5398,慕康生醫,股東常會
5432,新門,股東常會
5438,東友,股東常會
5457,宣德,股東常會
5460,同協,股東常會
5465,富驊,股東常會
5487,通泰,股東常會
5489,彩富,股東常會
5490,同亨,股東常會
5498,凱崴,股東常會
5511,德昌,股東常會
5512,力麒,股東常會
5520,力泰,股東常會
5520,力泰,除息
5903,全家,股東常會
6104,創惟,股東常會
6104,創惟,除息
6114,久威,股東常會
6118,建達,股東常會
6123,上奇,股東常會
6124,業強,股東常會
6126,信音,股東常會
6129,普誠,股東常會
6143,振曜,股東常會
6150,撼訊,股東常會
6156,松上,股東常會
6170,統振,股東常會
6185,幃翔,股東常會
6186,新潤,股東常會
6187,萬潤,股東常會
6194,育富,股東常會
6203,海韻電,股東常會
6210,慶生,股東常會
6221,晉泰,股東常會
6223,旺矽,股東常會
6237,驊訊,股東常會
6261,久元,股東常會
6274,台燿,除息
6274,台燿,股東常會
6276,安鈦克,股東常會
6284,佳邦,股東常會
6294,智基,股東常會
6294,智基,除息
6411,晶焱,股東常會
6432,今展科,股東常會
6542,隆中,股東常會
6556,勝品,股東常會
6568,宏觀,股東常會
6577,勁豐,股東常會
6603,富強鑫,股東常會
6629,泰金-KY,股東常會
6667,信紘科,股東常會
6703,軒郁,股東常會
6732,昇佳電子,除息
6747,亨泰光,除息
6747,亨泰光,股東常會
6763,綠界科技*,股東常會
6859,伯特光,股東常會
7402,邑錡,股東常會
8024,佑華,股東常會
8032,光菱,股東常會
8034,榮群,股東常會
8040,九暘,股東常會
8043,蜜望實,股東常會
8085,福華,股東常會
8089,康全電訊,股東常會
8099,大世科,股東常會
8107,大億金茂,股東常會
8147,正淩,股東常會
8182,加高,股東常會
8183,精星,股東常會
8289,泰藝,股東常會
8349,恒耀,股東常會
8415,大國鋼,股東常會
8437,大地-KY,股東常會
8489,三貝德,股東常會
8917,欣泰,股東常會
8941,關中,股東常會
9951,皇田,股東常會
9960,邁達康,股東常會
9962,有益,除息
9962,有益,股東常會
