date,open,high,low,close
2020/1/2,149.52,150.98,149.52,150.91
2020/1/3,151.11,151.75,148.71,148.94
2020/1/6,148.76,148.76,147.25,147.25
2020/1/7,147.38,147.98,145.63,146.29
2020/1/8,145.97,145.98,144.9,144.91
2020/1/9,145.2,146.84,145.2,146.57
2020/1/10,146.69,147.47,146.3,146.69
2020/1/13,146.82,148.27,146.82,148.27
2020/1/14,148.38,149.62,148.38,149.62
2020/1/15,149.74,150.32,149.42,149.54
2020/1/16,149.44,149.94,149.32,149.94
2020/1/17,150.08,150.64,149.72,149.87
2020/1/20,149.96,150.61,149.96,150.37
2020/1/30,149.17,149.17,140.89,141.01
2020/1/31,141.08,142.65,139.93,141.77
2020/2/3,140.9,140.9,135.45,139.06
2020/2/4,139.23,141.92,139.23,141.89
2020/2/5,142.07,143.36,141.92,142.39
2020/2/6,142.63,144.31,142.63,144.31
2020/2/7,144.27,144.27,142.41,142.57
2020/2/10,142.17,142.51,140.29,141.6
2020/2/11,141.81,143.64,141.81,143.6
2020/2/12,143.72,145.52,143.72,145.49
2020/2/13,145.68,146.86,145.46,145.52
2020/2/14,145.48,147.26,145.48,147.26
2020/2/17,146.94,147.49,146.4,146.74
2020/2/18,146.75,147.5,145.59,145.66
2020/2/19,145.67,147.38,145.67,147.29
2020/2/20,147.53,148.52,147.53,147.91
2020/2/21,147.92,148.52,147.38,147.82
2020/2/24,147.39,147.39,146.11,146.56
2020/2/25,146.22,146.57,144.65,146.48
2020/2/26,146.26,146.48,145.11,145.3
2020/2/27,145.34,146.04,141.89,141.96
2020/3/2,141.42,142.26,139.15,141.44
2020/3/3,141.94,144.28,141.94,143.4
2020/3/4,143.35,143.53,141.78,142.68
2020/3/5,143,145.23,143,145.18
2020/3/6,145.08,145.08,144.09,144.26
2020/3/9,143.92,143.92,139.06,139.06
2020/3/10,138.67,139,135.89,139
2020/3/11,139.18,140.46,136.88,136.88
2020/3/12,136.52,136.52,128.14,128.92
2020/3/13,127.12,127.12,118.28,123.44
2020/3/16,123.44,124.45,118.28,118.28
2020/3/17,117.31,117.31,112.78,113.3
2020/3/18,113.54,114.98,111.66,111.66
2020/3/19,111.22,111.22,102.27,103.25
2020/3/20,103.87,110.25,103.87,109.53
2020/3/23,108.77,108.77,104.56,106.46
2020/3/24,107.06,112.06,107.06,111.16
2020/3/25,111.97,116.59,111.97,115.43
2020/3/26,115.6,117.36,114.22,117.36
2020/3/27,117.87,120.04,117.19,117.26
2020/3/30,116.72,117.47,114.66,117.47
2020/3/31,117.63,119.17,117.27,117.83
2020/4/1,117.84,118.6,117.39,118.6
2020/4/6,118.78,120.76,118.4,120.76
2020/4/7,121.17,123.27,121.17,123.12
2020/4/8,123.11,125.78,123.01,125.68
2020/4/9,125.91,127.44,125.03,125.31
2020/4/10,125.38,126.36,125.35,126.36
2020/4/13,126.38,127.18,125.48,126.06
2020/4/14,126.35,128.57,126.35,128.55
2020/4/15,128.85,130.58,128.85,130.16
2020/4/16,129.95,130.87,129.22,130.67
2020/4/17,131.12,133.1,130.37,130.75
2020/4/20,130.8,131.77,130.34,131.77
2020/4/21,131.69,132.26,128.48,128.73
2020/4/22,128.53,129.9,127.08,129.9
2020/4/23,130.06,131.56,130.06,131.08
2020/4/24,131.04,131.54,130.98,131.36
2020/4/27,131.59,133.2,131.59,133.12
2020/4/28,133.21,134.09,133.21,134
2020/4/29,134.18,135.72,134.18,135.54
2020/4/30,135.92,137.71,135.92,137.7
2020/5/4,137.21,137.32,135.48,137.06
2020/5/5,137.2,139.19,137.2,138.41
2020/5/6,138.55,140.02,138.55,138.68
2020/5/7,138.79,140.8,138.79,140.8
2020/5/8,140.99,142.55,140.99,141.05
2020/5/11,141.34,142.25,141.34,141.8
2020/5/12,141.83,142.78,140.64,141.43
2020/5/13,141.3,142.91,141.3,142.91
2020/5/14,142.87,143.55,140.6,140.65
2020/5/15,140.96,142.72,139.86,141.64
2020/5/18,141.48,141.84,140.65,140.97
2020/5/19,141.37,143.32,141.37,142.64
2020/5/20,142.65,143.44,142.65,143.3
2020/5/21,143.49,145.14,143.49,145.09
2020/5/22,145.03,145.6,144.15,144.15
2020/5/25,144.3,146.61,143.64,146.61
2020/5/26,146.75,148.42,146.75,146.81
2020/5/27,146.98,148.25,146.29,146.79
2020/5/28,146.97,147.98,146.15,146.53
2020/5/29,146.54,147.54,146.25,147.38
2020/6/1,147.56,149.35,147.56,149.34
2020/6/2,149.47,150.32,148.66,149.05
2020/6/3,149.43,151.18,149.43,151.03
2020/6/4,151.25,152.5,151.25,152.06
2020/6/5,152.15,153.4,152.15,153.39
2020/6/8,153.72,155.33,153.72,154.62
2020/6/9,154.7,155.44,154.17,154.56
2020/6/10,154.61,156.16,154.61,155.76
2020/6/11,155.75,156.63,152.2,152.42
2020/6/12,151.64,151.86,148.03,151.86
2020/6/15,151.93,153.13,151.41,151.41
2020/6/16,151.81,154.57,151.81,154.57
2020/6/17,154.68,156,154.68,155.75
2020/6/18,155.83,158.13,155.83,158.12
2020/6/19,158.26,159.58,158.26,158.91
2020/6/22,158.95,160.51,158.95,159.95
2020/6/23,160.12,161.31,158.78,159.29
2020/6/24,159.43,160.57,159.32,159.63
2020/6/29,159.47,160.06,158.8,158.89
2020/6/30,159.12,160.75,159.12,160.06
2020/7/1,160.06,162.44,160.06,162.3
2020/7/2,162.42,165.15,162.42,165.15
2020/7/3,165.34,167,165.03,166.5
2020/7/6,166.51,170.68,166.51,170.68
2020/7/7,171.35,173.82,169.05,170.29
2020/7/8,170.28,174.06,170.25,173.95
2020/7/9,174.22,177.29,174.22,175.94
2020/7/10,175.99,176.72,171.04,171.9
2020/7/13,172.28,173.4,171.84,172.84
2020/7/14,172.72,172.73,169.91,170.04
2020/7/15,170.3,171.1,167.8,167.86
2020/7/16,167.27,168.69,166.26,166.8
2020/7/17,166.96,167.29,162.43,162.85
2020/7/20,162.96,163,159.94,162.25
2020/7/21,162.46,164.53,162.37,163.7
2020/7/22,163.68,166.42,163.68,166.42
2020/7/23,166.31,167.84,165.01,166.21
2020/7/24,166.08,166.08,161.85,162.36
2020/7/27,162.93,164.48,160.49,160.64
2020/7/28,160.98,162.55,157.43,157.77
2020/7/29,157.84,160.61,157.71,159.61
2020/7/30,160,161.73,160,161.73
2020/7/31,161.77,163.35,161.73,163.21
2020/8/3,163.24,164.65,162.89,163.25
2020/8/4,163.38,165.01,163.38,164.98
2020/8/5,165.18,167.14,165.18,166.98
2020/8/6,167,168.22,166.03,166.11
2020/8/7,166.23,166.65,165.04,165.3
2020/8/10,165.28,165.97,163.62,164.24
2020/8/11,164.43,165.07,162.16,162.56
2020/8/12,162.5,162.91,161.27,162.91
2020/8/13,163.23,164.34,162.44,162.62
2020/8/14,162.56,164.05,162,164.05
2020/8/17,164.16,165,164.07,165
2020/8/18,165.11,165.7,163.75,164.54
2020/8/19,164.71,166.25,164.07,164.31
2020/8/20,164.12,164.32,153.57,156.73
2020/8/21,157.06,160.36,157.06,160.36
2020/8/24,160.41,161.86,160.09,161.86
2020/8/25,162.07,163.57,162.07,163.57
2020/8/26,163.71,165.67,163.71,165.63
2020/8/27,165.81,167.29,165.34,165.81
2020/8/28,165.79,166.57,165.15,165.86
2020/8/31,166.11,167.59,165.76,166.03
2020/9/1,166.06,166.75,165.26,166.35
2020/9/2,166.62,167.66,166.62,167.59
2020/9/3,167.74,168.67,167.27,167.33
2020/9/4,166.68,166.68,164.07,166.53
2020/9/7,166.82,167.99,163.97,164.17
2020/9/8,164.41,165.86,164.34,165.51
2020/9/9,165.15,165.63,163.16,165.5
2020/9/10,165.85,167.14,165.05,165.11
2020/9/11,165.16,165.52,163.32,164.17
2020/9/14,164.28,165.96,164.28,165.75
2020/9/15,165.82,167.21,165.82,166.65
2020/9/16,166.98,168.32,166.98,167.55
2020/9/17,167.55,168.66,167.47,167.64
2020/9/18,167.7,168.92,167.7,168.91
2020/9/21,168.92,169.64,167.36,167.36
2020/9/22,167.43,167.45,164.59,165.1
2020/9/23,165.28,166.5,164.65,165.16
2020/9/24,164.75,164.75,161.68,161.81
2020/9/25,162.01,163.44,156.66,158.6
2020/9/28,159.08,161.12,159.08,160.83
2020/9/29,161.12,162.18,160.52,160.52
2020/9/30,160.56,162.05,159.97,162.05
2020/10/5,162.26,162.85,162.16,162.83
2020/10/6,163.08,164.53,163.08,164.42
2020/10/7,164.34,164.76,163.81,164.21
2020/10/8,164.42,165.46,164.42,164.96
2020/10/12,165.07,165.82,164.66,164.67
2020/10/13,164.74,165.29,163.78,165.29
2020/10/14,165.38,166.46,165.33,165.8
2020/10/15,165.78,166.65,165.34,165.91
2020/10/16,166,166.77,164.66,164.75
2020/10/19,164.86,165.77,164.86,165.23
2020/10/20,165.28,166.08,165.1,165.65
2020/10/21,165.75,166.85,165.75,166.03
2020/10/22,166.08,166.48,165.25,165.57
2020/10/23,165.64,166.2,165.64,166.04
2020/10/26,166.21,166.6,164.31,164.31
2020/10/27,164.07,164.98,163.33,164.98
2020/10/28,165.06,165.96,163.65,163.79
2020/10/29,163.3,163.3,161.34,163.1
2020/10/30,163.11,163.73,161.7,161.93
2020/11/2,162.09,162.66,160.67,161.25
2020/11/3,161.58,163.08,161.58,162.65
2020/11/4,162.88,164.29,162.34,164.29
2020/11/5,164.36,165.68,164.36,165.23
2020/11/6,165.45,167.06,165.45,165.81
2020/11/9,166.28,168.13,166.28,168.13
2020/11/10,167.99,168.08,164.97,165.71
2020/11/11,165.92,166.91,165.92,166.87
2020/11/12,166.95,167.54,165.6,165.91
2020/11/13,165.92,166.67,165.69,166.67
2020/11/16,167.05,168.49,167.05,168.49
2020/11/17,168.78,169.66,168.26,168.35
2020/11/18,168.47,170.04,168.47,169.98
2020/11/19,169.99,170.66,169.85,170.47
2020/11/20,170.58,171.54,170.58,171.39
2020/11/23,171.74,173.48,171.74,173.06
2020/11/24,173.27,174.2,172.47,172.61
2020/11/25,172.94,174.11,171.5,172.22
2020/11/26,172.52,173.93,172.52,173.93
2020/11/27,174.03,175.24,173.9,175.24
2020/11/30,176.51,178.01,176.51,176.62
2020/12/1,177.92,178.8,176.57,177.93
2020/12/2,178.22,180.3,178.22,180
2020/12/3,180.01,180.91,179.14,179.81
2020/12/4,179.95,180.89,179.95,180.31
2020/12/7,180.59,181.9,178.45,179.64
2020/12/8,179.59,181.32,179.59,181.22
2020/12/9,181.62,183.87,181.62,182.66
2020/12/10,181.57,181.99,179.54,180.53
2020/12/11,180.86,181.94,177.01,179.39
2020/12/14,179.75,181.01,179.66,180.28
2020/12/15,180.48,181.02,176.78,176.93
2020/12/16,177.35,180.77,177.35,180.29
2020/12/17,180.3,181.54,178.9,179.74
2020/12/18,179.85,180.54,179.18,179.32
2020/12/21,179.52,180.17,177.59,179.36
2020/12/22,179.33,181.12,177.72,177.76
2020/12/23,177.99,179.81,177.99,179.45
2020/12/24,179.73,180.75,179.49,179.69
2020/12/25,179.86,180.9,179.6,180.49
2020/12/28,180.67,181.78,180.67,181.69
2020/12/29,181.8,183.24,181.8,182.38
2020/12/30,182.56,184.33,182.56,184.24
2020/12/31,184.48,185.71,183.62,184.1
2021/1/4,184.29,185.8,184.29,185.8
2021/1/5,185.81,186.31,184.9,185.95
2021/1/6,186.21,187.99,182.65,184.26
2021/1/7,184.66,186.13,184.47,186.13
2021/1/8,186.43,187.87,185.93,187.02
2021/1/11,187.23,189.39,187.23,188.89
2021/1/12,188.92,190.02,186.04,186.18
2021/1/13,186.44,189.05,186.44,188.66
2021/1/14,188.81,189.58,187.78,187.91
2021/1/15,188.28,190.21,184.39,184.68
2021/1/18,184.8,185.45,182.35,185.45
2021/1/19,185.67,187.28,185.67,186.45
2021/1/20,186.59,187.57,182.65,182.98
2021/1/21,183.03,185.37,183.03,184.23
2021/1/22,184.32,187.93,184.15,187.8
2021/1/25,187.88,189.51,186.55,188.03
2021/1/26,188.03,189.37,184.74,185.37
2021/1/27,185.61,187.45,185.61,186.74
2021/1/28,186.25,186.25,183.05,183.09
2021/1/29,183.47,185.02,179.54,179.54
2021/2/1,179.49,180.4,176.95,180.39
2021/2/2,180.61,183.45,180.61,183.45
2021/2/3,183.57,185.18,183.03,183.69
2021/2/4,183.69,183.69,181.69,182.83
2021/2/5,183,184.23,182.93,183.3
2021/2/17,184.16,188.1,184.16,187.84
2021/2/18,188.05,190.65,188.05,190.65
2021/2/19,190.75,193.55,190.75,193.48
2021/2/22,194.01,199.02,194.01,199.02
2021/2/23,199.15,199.71,197.12,197.89
2021/2/24,197.71,199.49,196.22,196.22
2021/2/25,196.66,200.39,196.66,197.83
2021/2/26,197.19,197.19,194.29,195.07
2021/3/2,195.61,198.77,193.32,193.32
2021/3/3,193.54,194.85,191.17,194.1
2021/3/4,193.97,194.14,191.25,192.12
2021/3/5,191.96,193.64,190.38,192.62
2021/3/8,192.98,194.93,191.47,191.47
2021/3/9,191.55,191.69,188.06,190.2
2021/3/10,190.47,192.53,190.47,191.74
2021/3/11,191.85,195.45,191.85,195.31
2021/3/12,195.38,197.29,195.38,196.04
2021/3/15,196.17,197.77,196.17,197.57
2021/3/16,197.79,199.85,197.79,199.11
2021/3/17,199.25,200.5,198.98,199.4
2021/3/18,199.69,201.43,199.69,200.89
2021/3/19,200.75,200.75,199.25,199.88
2021/3/22,199.91,201.42,199.22,200.43
2021/3/23,200.69,202,199.36,199.38
2021/3/24,199.32,200.8,198.91,200.34
2021/3/25,200.49,201.2,199.33,199.59
2021/3/26,199.78,201.97,199.78,201.78
2021/3/29,202.15,205.02,202.15,204.34
2021/3/30,204.51,206.16,204.51,206.16
2021/3/31,206.24,207.23,206.07,206.29
2021/4/1,206.65,208.3,206.65,207.39
2021/4/6,207.79,209.81,207.79,209.7
2021/4/7,210.03,211.39,209.85,211.38
2021/4/8,211.65,214.36,211.65,213.8
2021/4/9,213.98,215.12,211.92,213.31
2021/4/12,213.84,215.77,212.37,212.47
2021/4/13,212.74,213.76,209.39,209.39
2021/4/14,209.57,210.84,201.31,206.26
2021/4/15,206.34,209.59,205.96,209.59
2021/4/16,209.8,211.37,209.8,210.74
2021/4/19,211.03,211.92,210.32,211.21
2021/4/20,211.33,214.28,210.91,213.62
2021/4/21,213.58,214.87,212.98,213.02
2021/4/22,213.41,215.24,206.48,206.99
2021/4/23,207.27,210.84,207.27,210.84
2021/4/26,211.34,213.26,211.34,212.95
2021/4/27,213.17,215.02,212.89,214.49
2021/4/28,214.6,215.35,213.38,213.77
2021/4/29,214.26,216.32,214.14,215.08
2021/5/3,215.16,215.25,208.79,208.86
2021/5/4,209.03,210.27,196.73,202.45
2021/5/5,202.16,203.32,198.56,198.56
2021/5/6,198.8,201.6,195.8,197.71
2021/5/7,198.34,204.39,198.34,204.39
2021/5/10,204.59,205.28,201.93,201.93
2021/5/11,201.17,201.17,191.71,193.04
2021/5/12,192.83,195.29,180.16,185.15
2021/5/13,184.35,188.98,180.98,187.03
2021/5/14,187.54,191.61,186.04,187.05
2021/5/17,185.3,186.15,178.55,181.11
2021/5/18,181.49,188.95,181.49,188.95
2021/5/19,188.7,190.46,187.31,189.08
2021/5/20,189.1,190.35,187.13,187.2
2021/5/21,187.66,190.87,187.66,190.87
2021/5/24,190.8,193.05,190.06,192.8
2021/5/25,193.04,198.18,193.04,197.02
2021/5/26,197.1,198.7,197.02,198.03
2021/5/27,198.03,198.99,197.27,198.61
2021/5/28,199.05,201.27,199.05,200.65
2021/5/31,201.01,202.63,200.69,201.87
2021/6/1,201.65,203.35,201.65,203.26
2021/6/2,203.03,203.89,199.49,200.49
2021/6/3,200.41,202.78,200.41,202.52
2021/6/4,202.28,202.28,200.87,201
2021/6/7,200.94,201.81,197.48,200.98
2021/6/8,200.97,203.78,200.97,202.62
2021/6/9,202.78,204.82,202.78,203.5
2021/6/10,203.63,206.93,203.63,206.79
2021/6/11,207.13,208.44,206.36,206.59
2021/6/15,207.02,208.93,207.02,208.74
2021/6/16,208.48,209.02,206.37,206.54
