date,open,high,low,close
2021/2/2,15546.69,15838.15,15546.69,15760.05
2021/2/3,15828.64,15896.4,15741.16,15771.32
2021/2/4,15697.75,15801.37,15606.74,15706.22
2021/2/5,15805.76,15938.09,15774.34,15802.4
2021/2/17,16197.45,16406.78,16197.45,16362.29
2021/2/18,16366.23,16517.73,16323.22,16424.51
2021/2/19,16376.91,16382.7,16211.25,16341.38
2021/2/22,16445.87,16579.17,16410.16,16410.16
2021/2/23,16320.88,16467.75,16211.75,16443.4
2021/2/24,16329.54,16456.94,16212.53,16212.53
2021/2/25,16376.8,16474.05,16322.27,16452.18
2021/2/26,16190.04,16190.04,15953.8,15953.8
2021/3/3,15992.32,16211.73,15884.55,16211.73
2021/3/4,16091.75,16091.75,15840.99,15906.41
2021/3/5,15759.58,15934.43,15636.43,15855.23
2021/3/8,15943.37,16074.97,15816.5,15820.11
2021/3/9,15715.07,15864.26,15657.92,15853.09
2021/3/10,15921.45,15986.07,15857.32,15911.67
2021/3/11,15947.21,16216.22,15947.21,16179.56
2021/3/12,16241.55,16298.03,16166.35,16255.18
2021/3/15,16256.58,16281.91,16194.91,16249.33
2021/3/16,16253.93,16340.66,16244.99,16313.16
2021/3/17,16312.98,16349.21,16166.35,16215.82
2021/3/18,16264.61,16410.02,16264.61,16287.84
2021/3/19,16186.46,16186.46,16022.17,16070.24
2021/3/22,16065.5,16235.63,15983.77,16189.22
2021/3/23,16250.2,16351.38,16166.29,16177.59
2021/3/24,15994.96,16125.54,15967.95,16032.12
2021/3/25,16010.54,16146.58,15944.96,16060.14
2021/3/26,16140.37,16325.62,16140.37,16305.88
2021/3/29,16411.67,16520.89,16411.67,16475.97
2021/3/30,16490.31,16556.19,16438.4,16554.9
2021/3/31,16529.23,16550.2,16427.2,16431.13
2021/4/6,16711.79,16804.45,16711.79,16739.87
2021/4/7,16771.35,16816.34,16715.32,16815.36
2021/4/8,16786.56,16926.72,16735.78,16926.44
2021/4/9,16974.28,17016.13,16815.59,16854.1
2021/4/12,16908.55,16979.35,16793.54,16859.7
2021/4/13,16872.4,17041.37,16802.22,16824.91
2021/4/14,16869.78,16935.39,16559.57,16865.97
2021/4/15,16851.06,17076.73,16851.06,17076.73
2021/4/16,17028.35,17158.81,16998.91,17158.81
2021/4/19,17141.25,17294.15,17135.52,17263.28
